Name,R_Encoding,,,
 GRINNINGFACE ,<ed><a0><bd><ed><b8><80>,,,
 GRIMACINGFACE ,<ed><a0><bd><ed><b8><ac>,,,
 GRINNINGFACEWITHSMILINGEYES ,<ed><a0><bd><ed><b8><81>,,,
 FACEWITHTEARSOFJOY ,<ed><a0><bd><ed><b8><82>,,,
 SMILINGFACEWITHOPENMOUTH ,<ed><a0><bd><ed><b8><83>,,,
 SMILINGFACEWITHOPENMOUTHANDSMILINGEYES ,<ed><a0><bd><ed><b8><84>,,,
 SMILINGFACEWITHOPENMOUTHANDCOLDSWEAT ,<ed><a0><bd><ed><b8><85>,,,
 SMILINGFACEWITHOPENMOUTHANDTIGHTLYCLOSEDEYES ,<ed><a0><bd><ed><b8><86>,,,
 SMILINGFACEWITHHALO ,<ed><a0><bd><ed><b8><87>,,,
 WINKINGFACE ,<ed><a0><bd><ed><b8><89>,,,
 SMILINGFACEWITHSMILINGEYES ,<ed><a0><bd><ed><b8><8a>,,,
 SLIGHTLYSMILINGFACE ,<ed><a0><bd><ed><b9><82>,,,
 UPSIDEDOWNFACE ,<ed><a0><bd><ed><b9><83>,,,
 SMILINGFACE ,<e2><98><ba><ef><b8><8f>,,,
 FACESAVOURINGDELICIOUSFOOD ,<ed><a0><bd><ed><b8><8b>,,,
 RELIEVEDFACE ,<ed><a0><bd><ed><b8><8c>,,,
 SMILINGFACEWITHHEARTSHAPEDEYES ,<ed><a0><bd><ed><b8><8d>,,,
 FACETHROWINGAKISS ,<ed><a0><bd><ed><b8><98>,,,
 KISSINGFACE ,<ed><a0><bd><ed><b8><97>,,,
 KISSINGFACEWITHSMILINGEYES ,<ed><a0><bd><ed><b8><99>,,,
 KISSINGFACEWITHCLOSEDEYES ,<ed><a0><bd><ed><b8><9a>,,,
 FACEWITHSTUCKOUTTONGUEANDWINKINGEYE ,<ed><a0><bd><ed><b8><9c>,,,
 FACEWITHSTUCKOUTTONGUEANDTIGHTLYCLOSEDEYES  ,<ed><a0><bd><ed><b8><9d>,,,
 FACEWITHSTUCKOUTTONGUE ,<ed><a0><bd><ed><b8><9b>,,,
 MONEYMOUTHFACE ,<ed><a0><be><ed><b4><91>,,,
 NERDFACE ,<ed><a0><be><ed><b4><93>,,,
 SMILINGFACEWITHSUNGLASSES ,<ed><a0><bd><ed><b8><8e>,,,
 HUGGINGFACE ,<ed><a0><be><ed><b4><97>,,,
 SMIRKINGFACE ,<ed><a0><bd><ed><b8><8f>,,,
 FACEWITHOUTMOUTH ,<ed><a0><bd><ed><b8><b6>,,,
 NEUTRALFACE ,<ed><a0><bd><ed><b8><90>,,,
 EXPRESSIONLESSFACE ,<ed><a0><bd><ed><b8><91>,,,
 UNAMUSEDFACE ,<ed><a0><bd><ed><b8><92>,,,
 FACEWITHROLLINGEYES ,<ed><a0><bd><ed><b9><84>,,,
 THINKINGFACE ,<ed><a0><be><ed><b4><94>,,,
 FLUSHEDFACE ,<ed><a0><bd><ed><b8><b3>,,,
 DISAPPOINTEDFACE ,<ed><a0><bd><ed><b8><9e>,,,
 WORRIEDFACE ,<ed><a0><bd><ed><b8><9f>,,,
 ANGRYFACE ,<ed><a0><bd><ed><b8><a0>,,,
 POUTINGFACE ,<ed><a0><bd><ed><b8><a1>,,,
 PENSIVEFACE ,<ed><a0><bd><ed><b8><94>,,,
